1,0,0,0,0,0,0,0
2,1,0,0,0,0,0,0
2,2,1,0,0,0,0,0
3,1,1,0,0,0,0,0
3,2,0,0,0,0,0,0
2,2,2,1,0,0,0,0
4,3,0,0,0,0,0,0
4,1,1,1,0,0,0,0
4,2,2,0,0,0,0,0
3,3,1,1,0,0,0,0
5,4,0,0,0,0,0,0
5,2,1,1,0,0,0,0
4,2,1,1,1,0,0,0
5,1,1,1,1,0,0,0
2,2,2,2,1,0,0,0
5,3,2,0,0,0,0,0
3,3,2,1,1,0,0,0
2,2,2,2,2,1,0,0
6,1,1,1,1,1,0,0
6,5,0,0,0,0,0,0
3,3,2,2,1,1,0,0
5,2,2,1,1,1,0,0
6,2,2,2,0,0,0,0
3,3,3,1,1,1,0,0
4,4,1,1,1,1,0,0
6,3,1,1,1,0,0,0
6,2,2,1,1,0,0,0
6,4,2,0,0,0,0,0
6,3,3,0,0,0,0,0
5,3,1,1,1,1,0,0
5,3,3,2,0,0,0,0
7,6,0,0,0,0,0,0
4,4,3,1,1,0,0,0
6,2,1,1,1,1,1,0
7,1,1,1,1,1,1,0
2,2,2,2,2,2,1,0
5,5,3,0,0,0,0,0
3,3,3,2,2,0,0,0
7,2,1,1,1,1,0,0
7,4,1,1,1,0,0,0
5,5,2,2,0,0,0,0
3,3,2,2,2,1,1,0
7,5,2,0,0,0,0,0
7,3,2,2,0,0,0,0
7,4,3,0,0,0,0,0
4,4,2,2,2,0,0,0
4,4,2,1,1,1,1,0
3,3,3,2,1,1,1,0
5,2,2,2,1,1,1,0
7,3,3,1,1,0,0,0
7,3,2,1,1,1,0,0
7,2,2,2,2,0,0,0
5,5,1,1,1,1,1,0
2,2,2,2,2,2,2,1
8,7,0,0,0,0,0,0
8,1,1,1,1,1,1,1
6,3,2,1,1,1,1,0
5,3,3,1,1,1,1,0
7,3,1,1,1,1,1,1
7,2,2,1,1,1,1,1
3,3,2,2,2,2,1,1
6,4,1,1,1,1,1,1
5,2,2,2,2,1,1,1
8,2,2,1,1,1,1,0
8,3,1,1,1,1,1,0
8,4,2,2,0,0,0,0
8,4,4,0,0,0,0,0
8,5,1,1,1,0,0,0
4,4,2,2,1,1,1,1
8,6,2,0,0,0,0,0
3,3,3,3,1,1,1,1
8,2,2,2,1,1,0,0
6,4,3,1,1,1,1,0
8,3,2,2,2,0,0,0
8,3,3,3,0,0,0,0
8,4,2,1,1,1,0,0
6,3,2,2,1,1,1,1
5,5,2,1,1,1,1,1
7,4,4,2,0,0,0,0
4,4,4,1,1,1,1,1
7,5,3,2,0,0,0,0
4,4,3,3,1,1,1,0
4,4,3,2,2,1,1,0
7,3,3,2,1,1,0,0
3,3,3,3,2,2,2,0
7,7,4,0,0,0,0,0
5,5,4,2,1,1,0,0
6,4,3,3,2,0,0,0
4,4,4,3,2,1,1,0
4,4,3,3,2,1,1,1
4,4,3,2,2,2,1,1
6,6,2,2,1,1,1,0
8,6,3,2,0,0,0,0
8,5,4,2,0,0,0,0
7,4,2,2,2,2,0,0
7,5,4,3,0,0,0,0
8,5,2,2,1,1,1,0
7,3,3,3,2,2,0,0
8,3,3,2,2,2,0,0
7,5,3,3,1,1,0,0
7,4,4,3,1,1,0,0
7,4,2,2,2,1,1,1
7,7,3,3,0,0,0,0
8,6,4,1,1,0,0,0
6,4,4,2,2,1,1,0
6,4,4,3,3,0,0,0
4,4,4,2,2,2,2,0
6,6,3,1,1,1,1,1
5,5,5,3,1,1,0,0
5,3,3,3,2,2,1,1
6,4,4,3,1,1,1,0
6,6,4,1,1,1,1,0
4,4,4,4,3,1,1,0
8,4,3,3,3,0,0,0
6,6,2,2,2,1,1,1
6,6,4,3,2,0,0,0
8,5,2,2,2,2,0,0
5,5,4,3,2,2,0,0
5,5,5,2,2,2,0,0
5,5,5,2,1,1,1,1
7,5,5,4,0,0,0,0
6,6,3,3,3,0,0,0
8,6,3,3,2,0,0,0
7,5,4,2,1,1,1,1
6,6,3,3,2,1,1,0
7,5,4,2,2,2,0,0
6,6,4,2,1,1,1,1
8,4,3,3,2,2,0,0
8,4,3,3,2,1,1,0
5,5,4,2,2,2,1,1
8,8,5,2,0,0,0,0
5,5,4,4,3,2,0,0
5,3,3,3,3,2,2,2
8,8,5,1,1,0,0,0
7,7,3,2,1,1,1,1
7,7,3,2,2,2,0,0
4,4,3,3,3,2,2,2
8,4,3,2,2,2,2,0
6,6,5,4,2,0,0,0
6,6,3,2,2,2,2,0
7,4,4,3,2,2,1,1
8,6,4,3,1,1,1,0
8,6,4,2,2,1,1,0
7,5,3,3,2,2,1,1
7,5,3,3,3,1,1,1
